"행정구역","2025년01월_총인구수","2025년01월_세대수","2025년01월_세대당 인구","2025년01월_남자 인구수","2025년01월_여자 인구수","2025년01월_남여 비율","2025년02월_총인구수","2025년02월_세대수","2025년02월_세대당 인구","2025년02월_남자 인구수","2025년02월_여자 인구수","2025년02월_남여 비율","2025년03월_총인구수","2025년03월_세대수","2025년03월_세대당 인구","2025년03월_남자 인구수","2025년03월_여자 인구수","2025년03월_남여 비율","2025년04월_총인구수","2025년04월_세대수","2025년04월_세대당 인구","2025년04월_남자 인구수","2025년04월_여자 인구수","2025년04월_남여 비율","2025년05월_총인구수","2025년05월_세대수","2025년05월_세대당 인구","2025년05월_남자 인구수","2025년05월_여자 인구수","2025년05월_남여 비율","2025년06월_총인구수","2025년06월_세대수","2025년06월_세대당 인구","2025년06월_남자 인구수","2025년06월_여자 인구수","2025년06월_남여 비율","2025년07월_총인구수","2025년07월_세대수","2025년07월_세대당 인구","2025년07월_남자 인구수","2025년07월_여자 인구수","2025년07월_남여 비율"
"강원특별자치도 철원군 (5178000000)","40,408","20,273","          1.99","20,882","19,526","          1.07","40,236","20,247","          1.99","20,795","19,441","          1.07","40,180","20,218","          1.99","20,737","19,443","          1.07","40,130","20,202","          1.99","20,688","19,442","          1.06","40,062","20,183","          1.98","20,654","19,408","          1.06","39,996","20,166","          1.98","20,616","19,380","          1.06","40,031","20,210","          1.98","20,643","19,388","          1.06"
"강원특별자치도 화천군 (5179000000)","22,764","11,999","          1.90","12,203","10,561","          1.16","22,612","11,967","          1.89","12,130","10,482","          1.16","22,609","11,972","          1.89","12,114","10,495","          1.15","22,596","11,972","          1.89","12,102","10,494","          1.15","22,561","11,995","          1.88","12,090","10,471","          1.15","22,550","11,965","          1.88","12,074","10,476","          1.15","22,587","12,001","          1.88","12,104","10,483","          1.15"
"강원특별자치도 양구군 (5180000000)","20,552","10,375","          1.98","10,749","9,803","          1.10","20,417","10,346","          1.97","10,687","9,730","          1.10","20,518","10,336","          1.99","10,730","9,788","          1.10","20,510","10,346","          1.98","10,733","9,777","          1.10","20,488","10,337","          1.98","10,730","9,758","          1.10","20,472","10,333","          1.98","10,724","9,748","          1.10","20,502","10,378","          1.98","10,766","9,736","          1.11"
"강원특별자치도 인제군 (5181000000)","31,385","16,669","          1.88","17,147","14,238","          1.20","31,220","16,629","          1.88","17,085","14,135","          1.21","31,146","16,608","          1.88","17,048","14,098","          1.21","31,131","16,608","          1.87","17,035","14,096","          1.21","31,066","16,591","          1.87","17,001","14,065","          1.21","31,005","16,595","          1.87","16,976","14,029","          1.21","30,956","16,567","          1.87","16,952","14,004","          1.21"
"강원특별자치도 고성군 (5182000000)","26,920","15,302","          1.76","13,798","13,122","          1.05","26,798","15,287","          1.75","13,733","13,065","          1.05","26,812","15,300","          1.75","13,742","13,070","          1.05","26,810","15,315","          1.75","13,756","13,054","          1.05","26,824","15,324","          1.75","13,748","13,076","          1.05","26,812","15,332","          1.75","13,720","13,092","          1.05","26,779","15,329","          1.75","13,706","13,073","          1.05"
"강원특별자치도 양양군 (5183000000)","27,470","14,980","          1.83","14,064","13,406","          1.05","27,504","15,004","          1.83","14,091","13,413","          1.05","27,452","14,990","          1.83","14,067","13,385","          1.05","27,398","14,966","          1.83","14,027","13,371","          1.05","27,357","14,948","          1.83","14,000","13,357","          1.05","27,322","14,919","          1.83","13,972","13,350","          1.05","27,331","14,923","          1.83","13,979","13,352","          1.05"
"충청북도  (4300000000)","1,590,666","787,774","          2.02","809,763","780,903","          1.04","1,590,107","789,271","          2.01","809,548","780,559","          1.04","1,590,512","790,802","          2.01","809,881","780,631","          1.04","1,590,735","791,497","          2.01","810,131","780,604","          1.04","1,590,956","792,075","          2.01","810,348","780,608","          1.04","1,591,045","792,609","          2.01","810,526","780,519","          1.04","1,591,815","793,580","          2.01","810,991","780,824","          1.04"
"충청북도 청주시 (4311000000)","854,742","404,700","          2.11","431,908","422,834","          1.02","855,097","405,899","          2.11","432,081","423,016","          1.02","854,926","406,298","          2.10","432,033","422,893","          1.02","855,061","406,571","          2.10","432,171","422,890","          1.02","855,268","406,900","          2.10","432,362","422,906","          1.02","855,340","407,186","          2.10","432,471","422,869","          1.02","856,247","408,025","          2.10","433,031","423,216","          1.02"
"충청북도 청주시 상당구 (4311100000)","197,879","89,661","          2.21","98,267","99,612","          0.99","197,567","89,659","          2.20","98,106","99,461","          0.99","197,496","89,712","          2.20","98,077","99,419","          0.99","197,411","89,744","          2.20","98,026","99,385","          0.99","197,250","89,724","          2.20","97,960","99,290","          0.99","196,830","89,644","          2.20","97,762","99,068","          0.99","196,688","89,691","          2.19","97,703","98,985","          0.99"
"충청북도 청주시 서원구 (4311200000)","181,285","87,803","          2.06","90,261","91,024","          0.99","181,324","88,198","          2.06","90,327","90,997","          0.99","181,164","88,265","          2.05","90,277","90,887","          0.99","181,000","88,279","          2.05","90,184","90,816","          0.99","180,794","88,320","          2.05","90,115","90,679","          0.99","180,633","88,333","          2.04","90,062","90,571","          0.99","180,608","88,432","          2.04","90,078","90,530","          1.00"
"충청북도 청주시 흥덕구 (4311300000)","286,480","136,622","          2.10","145,958","140,522","          1.04","287,160","137,163","          2.09","146,299","140,861","          1.04","287,344","137,400","          2.09","146,383","140,961","          1.04","287,769","137,678","          2.09","146,671","141,098","          1.04","288,358","137,983","          2.09","146,991","141,367","          1.04","289,193","138,358","          2.09","147,393","141,800","          1.04","290,267","138,889","          2.09","147,972","142,295","          1.04"
"충청북도 청주시 청원구 (4311400000)","189,098","90,614","          2.09","97,422","91,676","          1.06","189,046","90,879","          2.08","97,349","91,697","          1.06","188,922","90,921","          2.08","97,296","91,626","          1.06","188,881","90,870","          2.08","97,290","91,591","          1.06","188,866","90,873","          2.08","97,296","91,570","          1.06","188,684","90,851","          2.08","97,254","91,430","          1.06","188,684","91,013","          2.07","97,278","91,406","          1.06"
"충청북도 충주시 (4313000000)","207,230","103,658","          2.00","105,066","102,164","          1.03","207,280","104,005","          1.99","105,116","102,164","          1.03","207,122","104,002","          1.99","105,008","102,114","          1.03","207,081","104,021","          1.99","104,970","102,111","          1.03","206,952","104,025","          1.99","104,901","102,051","          1.03","206,872","104,087","          1.99","104,881","101,991","          1.03","206,976","104,363","          1.98","104,951","102,025","          1.03"
"충청북도 제천시 (4315000000)","128,352","65,748","          1.95","64,697","63,655","          1.02","128,007","65,677","          1.95","64,540","63,467","          1.02","128,702","66,492","          1.94","64,918","63,784","          1.02","128,708","66,611","          1.93","64,946","63,762","          1.02","128,610","66,579","          1.93","64,898","63,712","          1.02","128,437","66,497","          1.93","64,804","63,633","          1.02","128,198","66,304","          1.93","64,657","63,541","          1.02"
"충청북도 보은군 (4372000000)","30,494","16,815","          1.81","15,500","14,994","          1.03","30,405","16,796","          1.81","15,453","14,952","          1.03","30,356","16,799","          1.81","15,421","14,935","          1.03","30,309","16,786","          1.81","15,408","14,901","          1.03","30,320","16,787","          1.81","15,416","14,904","          1.03","30,350","16,820","          1.80","15,431","14,919","          1.03","30,374","16,819","          1.81","15,445","14,929","          1.03"
"충청북도 옥천군 (4373000000)","48,119","25,330","          1.90","24,356","23,763","          1.02","48,083","25,368","          1.90","24,340","23,743","          1.03","48,218","25,511","          1.89","24,420","23,798","          1.03","48,364","25,629","          1.89","24,505","23,859","          1.03","48,362","25,664","          1.88","24,499","23,863","          1.03","48,373","25,692","          1.88","24,495","23,878","          1.03","48,399","25,723","          1.88","24,508","23,891","          1.03"
"충청북도 영동군 (4374000000)","43,504","23,712","          1.83","21,910","21,594","          1.01","43,353","23,694","          1.83","21,829","21,524","          1.01","43,217","23,671","          1.83","21,782","21,435","          1.02","43,142","23,652","          1.82","21,740","21,402","          1.02","43,089","23,645","          1.82","21,712","21,377","          1.02","43,050","23,643","          1.82","21,674","21,376","          1.01","42,947","23,618","          1.82","21,625","21,322","          1.01"
"충청북도 증평군 (4374500000)","37,160","18,970","          1.96","19,346","17,814","          1.09","37,051","18,957","          1.95","19,302","17,749","          1.09","37,075","18,993","          1.95","19,329","17,746","          1.09","37,129","19,058","          1.95","19,363","17,766","          1.09","37,138","19,098","          1.94","19,375","17,763","          1.09","37,181","19,138","          1.94","19,407","17,774","          1.09","37,156","19,121","          1.94","19,379","17,777","          1.09"
"충청북도 진천군 (4375000000)","86,429","42,940","          2.01","45,679","40,750","          1.12","86,214","42,871","          2.01","45,563","40,651","          1.12","86,120","42,859","          2.01","45,528","40,592","          1.12","86,138","42,856","          2.01","45,553","40,585","          1.12","86,148","42,879","          2.01","45,564","40,584","          1.12","85,991","42,816","          2.01","45,505","40,486","          1.12","85,882","42,754","          2.01","45,457","40,425","          1.12"
"충청북도 괴산군 (4376000000)","36,115","21,302","          1.70","18,722","17,393","          1.08","36,051","21,300","          1.69","18,695","17,356","          1.08","36,010","21,309","          1.69","18,682","17,328","          1.08","35,925","21,294","          1.69","18,638","17,287","          1.08","35,965","21,352","          1.68","18,673","17,292","          1.08","35,968","21,368","          1.68","18,678","17,290","          1.08","35,848","21,318","          1.68","18,601","17,247","          1.08"
"충청북도 음성군 (4377000000)","91,228","49,290","          1.85","48,636","42,592","          1.14","91,383","49,428","          1.85","48,748","42,635","          1.14","91,629","49,614","          1.85","48,901","42,728","          1.14","91,792","49,775","          1.84","49,003","42,789","          1.15","92,006","49,887","          1.84","49,109","42,897","          1.14","92,422","50,116","          1.84","49,355","43,067","          1.15","92,753","50,285","          1.84","49,538","43,215","          1.15"
"충청북도 단양군 (4380000000)","27,293","15,309","          1.78","13,943","13,350","          1.04","27,183","15,276","          1.78","13,881","13,302","          1.04","27,137","15,254","          1.78","13,859","13,278","          1.04","27,086","15,244","          1.78","13,834","13,252","          1.04","27,098","15,259","          1.78","13,839","13,259","          1.04","27,061","15,246","          1.77","13,825","13,236","          1.04","27,035","15,250","          1.77","13,799","13,236","          1.04"
"충청남도  (4400000000)","2,135,815","1,052,547","          2.03","1,095,933","1,039,882","          1.05","2,135,340","1,055,137","          2.02","1,095,862","1,039,478","          1.05","2,135,628","1,056,928","          2.02","1,095,977","1,039,651","          1.05","2,135,908","1,057,684","          2.02","1,096,057","1,039,851","          1.05","2,135,908","1,058,425","          2.02","1,096,206","1,039,702","          1.05","2,135,890","1,059,004","          2.02","1,096,214","1,039,676","          1.05","2,136,299","1,059,812","          2.02","1,096,544","1,039,755","          1.05"
"충청남도 천안시 (4413000000)","660,147","312,729","          2.11","338,827","321,320","          1.05","660,981","314,228","          2.10","339,214","321,767","          1.05","660,888","314,680","          2.10","339,103","321,785","          1.05","661,153","315,096","          2.10","339,146","322,007","          1.05","661,615","315,455","          2.10","339,414","322,201","          1.05","661,967","315,776","          2.10","339,539","322,428","          1.05","662,677","316,391","          2.09","339,926","322,751","          1.05"
"충청남도 천안시 동남구 (4413100000)","260,787","124,899","          2.09","132,330","128,457","          1.03","260,726","125,464","          2.08","132,241","128,485","          1.03","260,524","125,599","          2.07","132,100","128,424","          1.03","260,660","125,868","          2.07","132,076","128,584","          1.03","260,711","125,967","          2.07","132,129","128,582","          1.03","260,756","126,113","          2.07","132,144","128,612","          1.03","261,137","126,464","          2.06","132,357","128,780","          1.03"
"충청남도 천안시 서북구 (4413300000)","399,360","187,830","          2.13","206,497","192,863","          1.07","400,255","188,764","          2.12","206,973","193,282","          1.07","400,364","189,081","          2.12","207,003","193,361","          1.07","400,493","189,228","          2.12","207,070","193,423","          1.07","400,904","189,488","          2.12","207,285","193,619","          1.07","401,211","189,663","          2.12","207,395","193,816","          1.07","401,540","189,927","          2.11","207,569","193,971","          1.07"
"충청남도 공주시 (4415000000)","101,068","53,446","          1.89","50,467","50,601","          1.00","100,690","53,358","          1.89","50,267","50,423","          1.00","100,888","53,719","          1.88","50,301","50,587","          0.99","100,818","53,755","          1.88","50,254","50,564","          0.99","100,793","53,808","          1.87","50,250","50,543","          0.99","100,714","53,818","          1.87","50,209","50,505","          0.99","100,605","53,787","          1.87","50,147","50,458","          0.99"
"충청남도 보령시 (4418000000)","93,575","49,196","          1.90","47,343","46,232","          1.02","93,263","49,124","          1.90","47,211","46,052","          1.03","93,065","49,119","          1.89","47,093","45,972","          1.02","92,958","49,072","          1.89","47,044","45,914","          1.02","92,837","49,048","          1.89","46,977","45,860","          1.02","92,746","49,018","          1.89","46,946","45,800","          1.03","92,663","49,023","          1.89","46,910","45,753","          1.03"
"충청남도 아산시 (4420000000)","355,374","165,369","          2.15","185,311","170,063","          1.09","356,356","166,240","          2.14","185,841","170,515","          1.09","356,691","166,475","          2.14","186,022","170,669","          1.09","356,963","166,617","          2.14","186,146","170,817","          1.09","357,051","166,735","          2.14","186,214","170,837","          1.09","357,122","166,874","          2.14","186,232","170,890","          1.09","357,602","167,173","          2.14","186,493","171,109","          1.09"
"충청남도 서산시 (4421000000)","174,139","84,074","          2.07","91,165","82,974","          1.10","173,621","84,074","          2.07","90,965","82,656","          1.10","173,522","84,140","          2.06","90,960","82,562","          1.10","173,450","84,152","          2.06","90,935","82,515","          1.10","173,337","84,181","          2.06","90,898","82,439","          1.10","173,253","84,269","          2.06","90,837","82,416","          1.10","173,017","84,176","          2.06","90,676","82,341","          1.10"
"충청남도 논산시 (4423000000)","108,302","57,289","          1.89","54,231","54,071","          1.00","108,046","57,330","          1.88","54,147","53,899","          1.00","107,821","57,308","          1.88","54,042","53,779","          1.00","107,750","57,308","          1.88","54,011","53,739","          1.01","107,607","57,317","          1.88","53,943","53,664","          1.01","107,525","57,303","          1.88","53,918","53,607","          1.01","107,406","57,255","          1.88","53,874","53,532","          1.01"
"충청남도 계룡시 (4425000000)","46,307","19,463","          2.38","23,088","23,219","          0.99","46,093","19,450","          2.37","22,986","23,107","          0.99","46,103","19,479","          2.37","22,980","23,123","          0.99","46,109","19,498","          2.36","22,989","23,120","          0.99","46,119","19,527","          2.36","22,980","23,139","          0.99","46,093","19,521","          2.36","22,977","23,116","          0.99","46,087","19,552","          2.36","22,971","23,116","          0.99"
"충청남도 당진시 (4427000000)","172,139","85,308","          2.02","92,280","79,859","          1.16","172,064","85,456","          2.01","92,244","79,820","          1.16","172,110","85,563","          2.01","92,276","79,834","          1.16","172,302","85,662","          2.01","92,397","79,905","          1.16","172,373","85,755","          2.01","92,475","79,898","          1.16","172,524","85,849","          2.01","92,571","79,953","          1.16","172,577","85,912","          2.01","92,613","79,964","          1.16"
"충청남도 금산군 (4471000000)","49,442","26,635","          1.86","25,075","24,367","          1.03","49,288","26,620","          1.85","25,018","24,270","          1.03","49,376","26,642","          1.85","25,070","24,306","          1.03","49,410","26,701","          1.85","25,096","24,314","          1.03","49,384","26,737","          1.85","25,086","24,298","          1.03","49,340","26,729","          1.85","25,054","24,286","          1.03","49,266","26,704","          1.84","25,024","24,242","          1.03"
"충청남도 부여군 (4476000000)","59,484","32,334","          1.84","29,637","29,847","          0.99","59,294","32,327","          1.83","29,533","29,761","          0.99","59,215","32,354","          1.83","29,491","29,724","          0.99","59,110","32,343","          1.83","29,445","29,665","          0.99","58,982","32,328","          1.82","29,401","29,581","          0.99","58,874","32,296","          1.82","29,360","29,514","          0.99","58,797","32,280","          1.82","29,324","29,473","          0.99"
"충청남도 서천군 (4477000000)","48,119","26,407","          1.82","23,836","24,283","          0.98","47,947","26,373","          1.82","23,763","24,184","          0.98","47,906","26,369","          1.82","23,752","24,154","          0.98","47,876","26,385","          1.81","23,738","24,138","          0.98","47,811","26,362","          1.81","23,711","24,100","          0.98","47,705","26,310","          1.81","23,673","24,032","          0.99","47,605","26,277","          1.81","23,635","23,970","          0.99"
"충청남도 청양군 (4479000000)","29,551","16,688","          1.77","15,109","14,442","          1.05","29,408","16,621","          1.77","15,049","14,359","          1.05","29,515","16,776","          1.76","15,124","14,391","          1.05","29,440","16,745","          1.76","15,088","14,352","          1.05","29,388","16,722","          1.76","15,051","14,337","          1.05","29,332","16,700","          1.76","15,013","14,319","          1.05","29,212","16,633","          1.76","14,950","14,262","          1.05"
"충청남도 홍성군 (4480000000)","99,287","49,292","          2.01","49,597","49,690","          1.00","99,594","49,582","          2.01","49,734","49,860","          1.00","99,878","49,838","          2.00","49,915","49,963","          1.00","100,000","49,877","          2.00","49,986","50,014","          1.00","100,108","49,959","          2.00","50,032","50,076","          1.00","100,164","50,021","          2.00","50,084","50,080","          1.00","100,112","50,019","          2.00","50,106","50,006","          1.00"
"충청남도 예산군 (4481000000)","78,879","40,933","          1.93","39,598","39,281","          1.01","78,811","40,970","          1.92","39,570","39,241","          1.01","78,796","41,031","          1.92","39,566","39,230","          1.01","78,809","41,059","          1.92","39,567","39,242","          1.01","78,767","41,069","          1.92","39,556","39,211","          1.01","78,761","41,086","          1.92","39,553","39,208","          1.01","78,881","41,171","          1.92","39,627","39,254","          1.01"
"충청남도 태안군 (4482500000)","60,002","33,384","          1.80","30,369","29,633","          1.02","59,884","33,384","          1.79","30,320","29,564","          1.03","59,854","33,435","          1.79","30,282","29,572","          1.02","59,760","33,414","          1.79","30,215","29,545","          1.02","59,736","33,422","          1.79","30,218","29,518","          1.02","59,770","33,434","          1.79","30,248","29,522","          1.02","59,792","33,459","          1.79","30,268","29,524","          1.03"
"전북특별자치도  (5200000000)","1,737,351","864,338","          2.01","865,346","872,005","          0.99","1,735,008","865,541","          2.00","864,313","870,695","          0.99","1,733,574","866,245","          2.00","863,734","869,840","          0.99","1,732,439","866,486","          2.00","863,216","869,223","          0.99","1,731,309","866,765","          2.00","862,633","868,676","          0.99","1,730,258","867,008","          2.00","862,137","868,121","          0.99","1,729,337","867,089","          1.99","861,705","867,632","          0.99"
"전북특별자치도 전주시 (5211000000)","634,548","296,642","          2.14","311,509","323,039","          0.96","633,668","297,312","          2.13","311,095","322,573","          0.96","632,466","297,303","          2.13","310,499","321,967","          0.96","631,587","297,089","          2.13","310,020","321,567","          0.96","630,904","297,029","          2.12","309,605","321,299","          0.96","630,274","297,009","          2.12","309,242","321,032","          0.96","629,618","296,948","          2.12","308,907","320,711","          0.96"
"전북특별자치도 전주시 완산구 (5211100000)","321,219","152,891","          2.10","155,747","165,472","          0.94","320,628","153,075","          2.09","155,476","165,152","          0.94","319,917","152,996","          2.09","155,096","164,821","          0.94","319,531","152,864","          2.09","154,902","164,629","          0.94","319,175","152,860","          2.09","154,665","164,510","          0.94","318,833","152,861","          2.09","154,476","164,357","          0.94","318,533","152,848","          2.08","154,303","164,230","          0.94"
"전북특별자치도 전주시 덕진구 (5211300000)","313,329","143,751","          2.18","155,762","157,567","          0.99","313,040","144,237","          2.17","155,619","157,421","          0.99","312,549","144,307","          2.17","155,403","157,146","          0.99","312,056","144,225","          2.16","155,118","156,938","          0.99","311,729","144,169","          2.16","154,940","156,789","          0.99","311,441","144,148","          2.16","154,766","156,675","          0.99","311,085","144,100","          2.16","154,604","156,481","          0.99"
"전북특별자치도 군산시 (5213000000)","257,832","125,182","          2.06","130,836","126,996","          1.03","257,446","125,311","          2.05","130,637","126,809","          1.03","257,032","125,302","          2.05","130,443","126,589","          1.03","256,856","125,340","          2.05","130,337","126,519","          1.03","256,732","125,417","          2.05","130,313","126,419","          1.03","256,614","125,534","          2.04","130,290","126,324","          1.03","256,646","125,696","          2.04","130,298","126,348","          1.03"
"전북특별자치도 익산시 (5214000000)","267,654","130,985","          2.04","133,218","134,436","          0.99","267,321","131,168","          2.04","133,074","134,247","          0.99","267,629","131,670","          2.03","133,224","134,405","          0.99","267,790","131,967","          2.03","133,282","134,508","          0.99","267,727","132,184","          2.03","133,265","134,462","          0.99","267,618","132,259","          2.02","133,199","134,419","          0.99","267,659","132,314","          2.02","133,213","134,446","          0.99"
"전북특별자치도 정읍시 (5218000000)","101,986","54,487","          1.87","50,957","51,029","          1.00","101,628","54,440","          1.87","50,769","50,859","          1.00","101,529","54,432","          1.87","50,723","50,806","          1.00","101,439","54,432","          1.86","50,684","50,755","          1.00","101,330","54,427","          1.86","50,623","50,707","          1.00","101,240","54,399","          1.86","50,580","50,660","          1.00","101,121","54,356","          1.86","50,519","50,602","          1.00"
"전북특별자치도 남원시 (5219000000)","75,604","39,918","          1.89","37,105","38,499","          0.96","75,329","39,934","          1.89","36,990","38,339","          0.96","75,232","39,979","          1.88","36,953","38,279","          0.97","75,147","39,953","          1.88","36,904","38,243","          0.96","75,067","39,931","          1.88","36,875","38,192","          0.97","75,011","39,932","          1.88","36,866","38,145","          0.97","74,988","39,942","          1.88","36,867","38,121","          0.97"
"전북특별자치도 김제시 (5221000000)","80,979","43,926","          1.84","40,530","40,449","          1.00","81,133","44,027","          1.84","40,616","40,517","          1.00","81,182","44,080","          1.84","40,678","40,504","          1.00","81,211","44,089","          1.84","40,715","40,496","          1.01","81,258","44,115","          1.84","40,727","40,531","          1.00","81,382","44,186","          1.84","40,797","40,585","          1.01","81,420","44,165","          1.84","40,817","40,603","          1.01"
"전북특별자치도 완주군 (5271000000)","99,668","49,640","          2.01","51,148","48,520","          1.05","99,675","49,744","          2.00","51,186","48,489","          1.06","99,819","49,822","          2.00","51,259","48,560","          1.06","99,923","49,915","          2.00","51,351","48,572","          1.06","100,040","49,965","          2.00","51,403","48,637","          1.06","100,131","50,026","          2.00","51,444","48,687","          1.06","100,229","50,157","          2.00","51,481","48,748","          1.06"
"전북특별자치도 진안군 (5272000000)","24,217","13,695","          1.77","12,388","11,829","          1.05","24,253","13,728","          1.77","12,399","11,854","          1.05","24,225","13,741","          1.76","12,395","11,830","          1.05","24,238","13,737","          1.76","12,406","11,832","          1.05","24,219","13,738","          1.76","12,393","11,826","          1.05","24,191","13,759","          1.76","12,383","11,808","          1.05","24,171","13,741","          1.76","12,378","11,793","          1.05"
"전북특별자치도 무주군 (5273000000)","23,021","13,015","          1.77","11,572","11,449","          1.01","22,984","13,007","          1.77","11,543","11,441","          1.01","22,989","13,037","          1.76","11,539","11,450","          1.01","22,976","13,056","          1.76","11,546","11,430","          1.01","22,945","13,034","          1.76","11,541","11,404","          1.01","22,917","13,030","          1.76","11,529","11,388","          1.01","22,904","13,020","          1.76","11,519","11,385","          1.01"
"전북특별자치도 장수군 (5274000000)","20,618","11,494","          1.79","10,346","10,272","          1.01","20,553","11,503","          1.79","10,319","10,234","          1.01","20,500","11,502","          1.78","10,287","10,213","          1.01","20,490","11,517","          1.78","10,293","10,197","          1.01","20,489","11,536","          1.78","10,298","10,191","          1.01","20,476","11,526","          1.78","10,295","10,181","          1.01","20,444","11,513","          1.78","10,290","10,154","          1.01"
"전북특별자치도 임실군 (5275000000)","25,578","14,899","          1.72","13,205","12,373","          1.07","25,539","14,898","          1.71","13,197","12,342","          1.07","25,531","14,915","          1.71","13,205","12,326","          1.07","25,486","14,902","          1.71","13,188","12,298","          1.07","25,427","14,881","          1.71","13,153","12,274","          1.07","25,401","14,863","          1.71","13,137","12,264","          1.07","25,345","14,835","          1.71","13,115","12,230","          1.07"
"전북특별자치도 순창군 (5277000000)","26,788","14,497","          1.85","13,195","13,593","          0.97","26,831","14,532","          1.85","13,216","13,615","          0.97","26,799","14,551","          1.84","13,196","13,603","          0.97","26,828","14,578","          1.84","13,220","13,608","          0.97","26,804","14,605","          1.84","13,215","13,589","          0.97","26,792","14,621","          1.83","13,217","13,575","          0.97","26,760","14,620","          1.83","13,212","13,548","          0.98"
"전북특별자치도 고창군 (5279000000)","50,869","28,559","          1.78","25,375","25,494","          1.00","50,788","28,540","          1.78","25,357","25,431","          1.00","50,851","28,521","          1.78","25,439","25,412","          1.00","50,770","28,506","          1.78","25,422","25,348","          1.00","50,716","28,515","          1.78","25,398","25,318","          1.00","50,631","28,495","          1.78","25,359","25,272","          1.00","50,546","28,441","          1.78","25,324","25,222","          1.00"
"전북특별자치도 부안군 (5280000000)","47,989","27,399","          1.75","23,962","24,027","          1.00","47,860","27,397","          1.75","23,915","23,945","          1.00","47,790","27,390","          1.74","23,894","23,896","          1.00","47,698","27,405","          1.74","23,848","23,850","          1.00","47,651","27,388","          1.74","23,824","23,827","          1.00","47,580","27,369","          1.74","23,799","23,781","          1.00","47,486","27,341","          1.74","23,765","23,721","          1.00"
"전라남도  (4600000000)","1,787,592","912,344","          1.96","901,816","885,776","          1.02","1,785,487","913,114","          1.96","901,141","884,346","          1.02","1,785,193","913,770","          1.95","901,154","884,039","          1.02","1,785,003","914,302","          1.95","901,278","883,725","          1.02","1,784,116","914,435","          1.95","901,006","883,110","          1.02","1,783,484","914,527","          1.95","900,655","882,829","          1.02","1,782,183","914,397","          1.95","900,012","882,171","          1.02"
"전라남도 목포시 (4611000000)","209,289","104,058","          2.01","104,067","105,222","          0.99","208,332","104,012","          2.00","103,627","104,705","          0.99","207,708","103,869","          2.00","103,330","104,378","          0.99","207,218","103,773","          2.00","103,057","104,161","          0.99","206,880","103,779","          1.99","102,869","104,011","          0.99","206,439","103,702","          1.99","102,604","103,835","          0.99","205,782","103,588","          1.99","102,264","103,518","          0.99"
"전라남도 여수시 (4613000000)","267,338","128,252","          2.08","136,030","131,308","          1.04","266,694","128,311","          2.08","135,744","130,950","          1.04","266,317","128,343","          2.08","135,539","130,778","          1.04","266,021","128,302","          2.07","135,420","130,601","          1.04","265,755","128,254","          2.07","135,279","130,476","          1.04","265,496","128,208","          2.07","135,129","130,367","          1.04","265,101","128,080","          2.07","134,882","130,219","          1.04"
"전라남도 순천시 (4615000000)","276,153","127,042","          2.17","137,835","138,318","          1.00","275,848","127,266","          2.17","137,725","138,123","          1.00","275,655","127,332","          2.16","137,615","138,040","          1.00","275,563","127,367","          2.16","137,609","137,954","          1.00","275,409","127,397","          2.16","137,545","137,864","          1.00","275,352","127,448","          2.16","137,554","137,798","          1.00","275,324","127,508","          2.16","137,487","137,837","          1.00"
"전라남도 나주시 (4617000000)","116,710","59,932","          1.95","58,969","57,741","          1.02","116,957","60,192","          1.94","59,151","57,806","          1.02","117,075","60,286","          1.94","59,247","57,828","          1.02","117,188","60,389","          1.94","59,287","57,901","          1.02","117,203","60,369","          1.94","59,301","57,902","          1.02","117,215","60,338","          1.94","59,274","57,941","          1.02","117,237","60,334","          1.94","59,288","57,949","          1.02"
"전라남도 광양시 (4623000000)","154,914","72,435","          2.14","81,234","73,680","          1.10","154,970","72,610","          2.13","81,289","73,681","          1.10","154,968","72,694","          2.13","81,293","73,675","          1.10","155,073","72,841","          2.13","81,381","73,692","          1.10","155,199","72,932","          2.13","81,449","73,750","          1.10","155,317","73,066","          2.13","81,514","73,803","          1.10","155,303","73,086","          2.12","81,534","73,769","          1.11"
"전라남도 담양군 (4671000000)","44,569","24,163","          1.84","22,481","22,088","          1.02","44,461","24,114","          1.84","22,448","22,013","          1.02","44,458","24,138","          1.84","22,447","22,011","          1.02","44,451","24,133","          1.84","22,447","22,004","          1.02","44,402","24,106","          1.84","22,427","21,975","          1.02","44,384","24,079","          1.84","22,418","21,966","          1.02","44,314","24,046","          1.84","22,397","21,917","          1.02"
"전라남도 곡성군 (4672000000)","26,548","15,613","          1.70","13,180","13,368","          0.99","26,553","15,603","          1.70","13,199","13,354","          0.99","26,581","15,602","          1.70","13,223","13,358","          0.99","26,609","15,616","          1.70","13,237","13,372","          0.99","26,607","15,618","          1.70","13,254","13,353","          0.99","26,613","15,620","          1.70","13,278","13,335","          1.00","26,591","15,592","          1.71","13,267","13,324","          1.00"
"전라남도 구례군 (4673000000)","24,002","13,409","          1.79","11,724","12,278","          0.95","24,004","13,427","          1.79","11,706","12,298","          0.95","23,974","13,435","          1.78","11,709","12,265","          0.95","23,976","13,444","          1.78","11,720","12,256","          0.96","23,942","13,445","          1.78","11,703","12,239","          0.96","23,927","13,449","          1.78","11,694","12,233","          0.96","23,897","13,446","          1.78","11,671","12,226","          0.95"
